timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], temperature.gpu
2025/06/13 00:27:52.195, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:27:53.196, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:27:54.196, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:27:55.197, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:27:56.197, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:27:57.198, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:27:58.198, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:27:59.199, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:28:00.199, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:28:01.200, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:28:02.200, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:28:03.201, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:28:04.201, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 27
2025/06/13 00:28:05.202, 0, Tesla V100S-PCIE-32GB, 9 %, 0 %, 32768 MiB, 364 MiB, 27
2025/06/13 00:28:06.202, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 430 MiB, 27
2025/06/13 00:28:07.203, 0, Tesla V100S-PCIE-32GB, 9 %, 0 %, 32768 MiB, 692 MiB, 27
2025/06/13 00:28:08.203, 0, Tesla V100S-PCIE-32GB, 19 %, 5 %, 32768 MiB, 966 MiB, 28
2025/06/13 00:28:09.204, 0, Tesla V100S-PCIE-32GB, 18 %, 6 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:10.204, 0, Tesla V100S-PCIE-32GB, 16 %, 5 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:11.205, 0, Tesla V100S-PCIE-32GB, 9 %, 1 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:12.205, 0, Tesla V100S-PCIE-32GB, 6 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:13.206, 0, Tesla V100S-PCIE-32GB, 11 %, 1 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:14.206, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:15.207, 0, Tesla V100S-PCIE-32GB, 8 %, 1 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:16.207, 0, Tesla V100S-PCIE-32GB, 1 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:17.208, 0, Tesla V100S-PCIE-32GB, 6 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:18.208, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:19.209, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:20.209, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:21.210, 0, Tesla V100S-PCIE-32GB, 2 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:22.210, 0, Tesla V100S-PCIE-32GB, 3 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:23.211, 0, Tesla V100S-PCIE-32GB, 1 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:24.211, 0, Tesla V100S-PCIE-32GB, 11 %, 1 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:25.212, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:26.212, 0, Tesla V100S-PCIE-32GB, 11 %, 1 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:27.213, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:28.213, 0, Tesla V100S-PCIE-32GB, 10 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:29.214, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:30.214, 0, Tesla V100S-PCIE-32GB, 8 %, 1 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:31.215, 0, Tesla V100S-PCIE-32GB, 6 %, 1 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:32.215, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:33.216, 0, Tesla V100S-PCIE-32GB, 8 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:34.216, 0, Tesla V100S-PCIE-32GB, 7 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:35.217, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:36.217, 0, Tesla V100S-PCIE-32GB, 7 %, 0 %, 32768 MiB, 1094 MiB, 28
2025/06/13 00:28:37.218, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:38.218, 0, Tesla V100S-PCIE-32GB, 6 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:39.219, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:40.219, 0, Tesla V100S-PCIE-32GB, 11 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:41.220, 0, Tesla V100S-PCIE-32GB, 1 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:42.220, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:43.221, 0, Tesla V100S-PCIE-32GB, 11 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:44.221, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:45.222, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:46.223, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:47.223, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:48.224, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:49.224, 0, Tesla V100S-PCIE-32GB, 8 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:50.224, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:51.225, 0, Tesla V100S-PCIE-32GB, 7 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:52.225, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
